resultId,raceId,position,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,driverAge,countryRankByChampionships,countryRankByProportion,allTimeStarts,allTimefastestLap,constructorRank
23725,986,4,12,46,97,30,1,8,212,34,0
23726,986,5,0,0,0,21,4,12,43,0,33
23727,986,6,2,0,1,19,7,5,34,0,2
23728,986,7,12,0,7,27,8,14,148,4,33
23729,986,8,3,0,1,25,8,14,74,0,33
23730,986,9,13,62,116,32,0,7,222,40,3
23731,986,10,18,32,97,36,6,6,305,23,1
23732,986,11,25,11,41,36,2,4,269,15,2
23733,986,12,2,0,0,25,8,14,34,0,1
23734,986,13,0,0,0,21,4,12,19,0,30
23735,986,14,6,0,0,23,1,8,39,0,33
23736,986,15,19,0,10,31,4,12,136,1,33
23737,986,,7,0,0,23,6,6,74,0,6
23738,986,,10,0,0,27,8,14,90,0,33
23740,986,,14,0,0,30,1,8,149,2,6
23741,986,,5,5,27,28,4,2,143,13,4
23702,985,1,13,62,116,32,0,7,222,40,3
23703,985,2,12,46,97,30,1,8,212,34,0
23704,985,3,24,20,89,38,4,0,285,46,0
23705,985,4,6,2,10,20,8,14,74,4,4
23706,985,5,4,2,19,28,4,0,111,7,3
23707,985,6,0,0,0,21,4,12,43,0,33
23708,985,7,7,0,0,23,6,6,74,0,6
23709,985,8,12,0,7,27,8,14,148,4,33
23710,985,9,25,11,41,36,2,4,269,15,2
23711,985,10,7,0,2,23,8,14,72,1,30
23712,985,11,2,0,1,19,7,5,34,0,2
23713,985,12,2,0,0,25,8,14,34,0,1
23715,985,14,19,0,10,31,4,12,136,1,33
23716,985,15,10,0,0,27,8,14,90,0,33
23717,985,16,3,0,1,25,8,14,74,0,33
23718,985,,18,32,97,36,6,6,305,23,1
23719,985,,5,5,27,28,4,2,143,13,4
23720,985,,6,0,0,23,1,8,39,0,33
23721,985,,14,0,0,30,1,8,149,2,6
23682,984,1,13,61,115,32,0,7,222,40,3
23683,984,2,6,2,10,20,8,14,74,4,4
23684,984,3,5,5,27,28,4,2,143,13,4
23685,984,4,4,2,19,28,4,0,111,7,3
23686,984,5,24,20,88,38,4,0,285,46,0
23687,984,6,0,0,0,21,4,12,43,0,33
23688,984,7,12,0,7,27,8,14,148,4,33
23689,984,8,3,0,1,25,8,14,74,0,33
23690,984,9,19,0,10,31,4,12,136,1,33
23691,984,10,25,11,41,36,2,4,269,15,2
23692,984,11,18,32,97,36,6,6,305,23,1
23693,984,12,5,0,0,26,0,7,35,0,6
23694,984,13,0,0,0,21,4,12,19,0,30
23695,984,14,2,0,0,25,8,14,34,0,1
23696,984,15,5,0,0,23,1,8,39,0,33
23697,984,,2,0,1,19,7,5,34,0,2
23698,984,,14,0,0,30,1,8,149,2,6
23699,984,,10,0,0,27,8,14,90,0,33
23700,984,,12,46,96,30,1,8,212,34,0
23701,984,,7,0,0,23,6,6,74,0,30
23662,983,1,6,2,9,20,8,14,74,4,4
23663,983,2,13,60,114,32,0,7,222,40,3
23664,983,3,5,5,26,28,4,2,143,13,4
23665,983,4,12,46,96,30,1,8,212,34,0
23666,983,5,4,2,19,28,4,0,111,7,3
23667,983,6,12,0,7,27,8,14,148,4,33
23668,983,7,2,0,0,25,8,14,34,0,1
23669,983,8,2,0,1,19,7,5,34,0,2
23670,983,9,25,11,41,36,2,4,269,15,2
23671,983,10,0,0,0,21,4,12,43,0,33
23672,983,11,18,32,97,36,6,6,305,23,1
23673,983,12,3,0,1,25,8,14,74,0,33
23674,983,13,19,0,10,31,4,12,136,1,33
