resultId,raceId,position,grid,counterInvolvedProblems,winsUntilThisRace,podiumsUntilThisRace,countryRankByChampionships,allTimeStarts,allTimefastestLap,constructorRank,driverTop100,countryTop38
20584,347,,22,0,0,0,8,21,0,33,101,22
20585,347,,17,0,0,0,5,252,1,33,41,8
20586,347,,16,2,0,0,8,55,0,30,101,18
20587,348,1,2,1,1,5,4,215,19,4,9,6
20588,348,2,3,1,3,6,6,305,23,0,3,7
20589,348,3,1,0,3,5,1,212,34,4,2,2
20590,348,4,4,1,0,2,2,269,15,0,8,4
20591,348,5,7,2,0,0,8,57,1,6,98,39
20592,348,6,10,1,0,0,1,149,2,2,101,2
20593,348,7,9,0,0,0,6,104,1,33,101,7
20594,348,8,11,1,0,2,0,306,8,1,7,1
20595,348,9,23,1,0,0,8,75,1,33,70,22
20596,348,10,12,1,0,0,2,322,17,2,13,4
20597,348,11,14,1,0,0,1,306,77,3,6,2
20598,348,12,15,1,0,0,8,55,0,30,101,18
20599,348,13,16,4,0,0,5,80,0,33,101,8
20600,348,14,19,0,0,0,4,111,2,33,77,3
20601,348,15,20,0,0,0,5,252,1,33,41,8
20602,348,16,18,1,0,0,1,91,1,33,101,2
20603,348,17,22,3,0,0,2,46,1,33,101,4
20604,348,18,21,1,0,0,2,18,0,33,101,4
20605,348,19,24,0,0,0,8,21,0,33,101,22
20606,348,,5,2,1,3,0,222,40,1,1,1
20607,348,,8,1,0,1,8,76,1,6,36,21
20608,348,,6,1,0,0,1,206,20,3,5,2
20609,348,,13,2,0,0,1,128,1,33,71,2
20610,348,,17,0,0,0,6,46,0,30,101,7
20611,349,1,2,2,1,3,0,222,40,1,1,1
20612,349,2,1,1,0,4,4,215,19,4,9,6
20613,349,3,3,0,0,1,8,76,1,6,36,21
20614,349,4,6,1,0,2,2,269,15,0,8,4
20615,349,5,8,1,0,0,1,128,1,33,71,2
20616,349,6,14,1,0,0,1,206,20,3,5,2
20617,349,7,21,1,0,0,1,306,77,3,6,2
20618,349,8,17,1,0,0,8,75,1,33,70,22
20619,349,9,23,2,0,0,8,57,1,6,98,39
20620,349,10,12,4,0,0,5,80,0,33,101,8
20621,349,11,24,0,0,0,6,104,1,33,101,7
20622,349,12,16,1,0,0,8,55,0,30,101,18
20623,349,13,11,0,0,0,6,46,0,30,101,7
20624,349,14,9,1,0,0,1,149,2,2,101,2
20625,349,15,4,0,3,4,1,212,34,4,2,2
20626,349,16,13,0,0,0,4,111,2,33,77,3
20627,349,17,22,1,0,0,2,18,0,33,101,4
20628,349,18,20,1,0,0,1,91,1,33,101,2
20629,349,19,15,0,0,0,5,252,1,33,41,8
20630,349,20,19,0,0,0,8,21,0,33,101,22
20631,349,,10,1,3,5,6,305,23,0,3,7
20632,349,,5,1,0,2,0,306,8,1,7,1
20633,349,,18,3,0,0,2,46,1,33,101,4
20634,349,,7,1,0,0,2,322,17,2,13,4
20635,350,1,1,0,3,5,6,305,23,0,3,7
20636,350,2,2,0,0,2,0,306,8,1,7,1
20637,350,3,3,1,0,2,2,269,15,0,8,4
20638,350,4,6,0,3,4,1,212,34,4,2,2
20639,350,5,7,1,0,0,1,206,20,3,5,2
20640,350,6,4,1,0,3,4,215,19,4,9,6
20641,350,7,8,1,0,0,1,149,2,2,101,2
20642,350,8,9,0,0,0,8,76,1,6,36,21
20643,350,9,12,1,0,0,1,306,77,3,6,2
20644,350,10,10,0,0,0,2,322,17,2,13,4
20645,350,11,14,1,0,0,8,55,0,30,101,18
20646,350,12,19,4,0,0,5,80,0,33,101,8
20647,350,13,20,2,0,0,8,57,1,6,98,39
20648,350,14,16,0,0,0,6,104,1,33,101,7
20649,350,15,15,0,0,0,6,46,0,30,101,7
20650,350,16,11,1,0,0,1,128,1,33,71,2
20651,350,17,24,1,0,0,1,91,1,33,101,2
20652,350,18,18,0,0,0,4,111,2,33,77,3
20653,350,19,23,0,0,0,8,21,0,33,101,22
20654,350,20,21,1,0,0,2,18,0,33,101,4
20655,350,,17,0,0,0,5,252,1,33,41,8
20656,350,,22,2,0,0,2,46,1,33,101,4
20657,350,,5,2,0,2,0,222,40,1,1,1
20658,350,,13,1,0,0,8,75,1,33,70,22
20659,351,1,1,0,2,4,6,305,23,0,3,7
20660,351,2,2,0,3,4,1,212,34,4,2,2
20661,351,3,5,1,0,3,4,215,19,4,9,6
20662,351,4,4,0,0,1,0,306,8,1,7,1
20663,351,5,7,1,0,0,1,206,20,3,5,2
20664,351,6,6,0,0,0,2,322,17,2,13,4
20665,351,7,8,0,0,0,8,76,1,6,36,21
20666,351,8,24,1,0,1,2,269,15,0,8,4
20667,351,9,15,1,0,0,1,128,1,33,71,2
20668,351,10,17,1,0,0,1,149,2,2,101,2
20669,351,11,12,2,0,0,8,57,1,6,98,39
20670,351,12,11,0,0,0,6,46,0,30,101,7
20671,351,13,9,1,0,0,1,306,77,3,6,2
20672,351,14,13,1,0,0,8,55,0,30,101,18
20673,351,15,20,1,0,0,2,18,0,33,101,4
20674,351,16,19,0,0,0,4,111,2,33,77,3
20675,351,,18,1,0,0,1,91,1,33,101,2
20676,351,,14,1,0,0,1,183,2,33,38,2
20677,351,,3,1,0,2,0,222,40,1,1,1
20678,351,,22,0,0,0,4,49,0,33,101,9
20679,351,,10,1,0,0,8,75,1,33,70,22
